transaction_id,customer_id,transaction_amount,transaction_timestamp,region,state,customer_category,account_balance
1,4fde6877-df23-4aae-a201-5f00c944dd62,3746.03,2022-08-01 12:41:22,Europe,Sweden,Low-Profile,3898.46
2,c2398b58-076f-46e2-83ee-fb928e0c6a06,5968.9,2022-12-22 06:57:10,South America,Mexico,Low-Profile,290.42
3,2dc5feb1-6bab-4dee-bc3b-f5288b483fe7,8661.9,2023-06-15 23:56:02,North America,Canada,Low-Profile,102.92
4,73816983-58a5-4eff-bf3c-7af4b7446e95,9699.13,2023-04-14 22:57:19,North America,Canada,Medium-Profile,5003.89
5,040994b7-42d2-4795-ad11-4e722da998f1,9922.12,2023-02-26 20:14:12,Europe,Ireland,Medium-Profile,7623.78
6,119f5067-947c-4c24-87d7-38e86329e8c8,4320.02,2022-10-04 17:47:29,Europe,Sweden,Low-Profile,1999.3
7,77245bb8-f8b1-45e5-a60b-214322e3fac0,467.61,2023-06-02 16:43:17,North America,Canada,Low-Profile,2280.35
8,a3e4c01f-0d31-4dd0-8827-0d3abcd70628,7851.97,2022-12-11 12:58:12,Africa,Ghana,Low-Profile,4916.15
9,4616b708-3cbe-4b73-ab5b-2913b30c5528,4668.16,2022-08-01 14:26:29,Europe,Sweden,Low-Profile,852.62
10,e9e43689-159e-43c7-b3cb-8d60fce569a4,651.45,2022-07-31 13:33:41,North America,USA,Medium-Profile,9041.99
11,46dc8c11-2ba0-476e-b9b6-a7b16b6fed2e,3046.83,2022-09-14 17:35:37,Europe,Germany,Low-Profile,3416.32
12,16084063-e152-435b-93db-9bcec6b570db,6100.36,2022-12-18 16:27:43,North America,USA,Low-Profile,4546.6
13,4be97c62-2d4e-4a59-ba11-3486c5a942c3,2588.54,2023-01-06 12:42:32,North America,Canada,Medium-Profile,7125.78
14,6bf8f8e8-6f41-447e-9d25-ed238258d4a4,2080.21,2023-07-04 23:22:54,North America,Canada,High-Profile,97262.62
15,27a81e02-dac8-40a4-a182-79e789089484,7751.55,2023-07-06 23:41:16,South America,Brazil,Medium-Profile,9633.29
16,7e56b803-fd2b-455e-a671-38da6654e4e1,7272.99,2023-07-14 19:25:29,Africa,Ghana,Medium-Profile,5979.91
17,fd1b4b9d-6bdc-49f1-8e0c-440f70fa326f,453.23,2023-06-04 20:08:41,North America,USA,High-Profile,34421.41
18,63023cb8-3927-4306-8392-d530ba0dffc3,8287.55,2022-09-05 10:12:46,South America,Mexico,High-Profile,22683.18
19,f94b14ff-8501-443d-8863-fd6b8561da0a,8022.17,2023-05-12 06:36:09,Europe,UK,Low-Profile,2117.01
20,d6dbac71-b927-4fe9-8899-ea6445fd8693,3949.42,2023-03-16 07:55:26,North America,Canada,Low-Profile,4077.31
21,4252d40b-2b74-45d6-9a2e-0582f23869dd,7068.87,2022-11-04 00:22:45,Africa,Kenya,High-Profile,64536.4
22,c924cdc6-6882-418c-93f2-1120c610d045,9263.08,2023-03-14 13:16:55,South America,Mexico,Low-Profile,4250.19
23,7d6a835f-87d5-4982-acf5-e2e99279b892,4495.06,2023-03-18 05:41:17,Europe,Ireland,Low-Profile,1554.91
24,70826552-6871-4518-a25e-21197f045457,3252.51,2022-07-24 00:58:00,Africa,Ghana,Medium-Profile,9436.06
